TransactionID,Amount,CustomerID,Timestamp,MerchantID,TransactionAmount,AnomalyScore,Name,Age,Address,AccountBalance,LastLogin,MerchantName,Location,Category_Food,Category_Online,Category_Other,Category_Retail,Category_Travel,SuspiciousFlag,FraudIndicator
1,55.53033442986919,1952,1640995200,2701,79.41360746377397,0.6866994638180963,1952,50,1952,2869.689912187824,1723161600,2701,2701,0,0,1,0,0,0,0
2,12.881180192784145,1027,1640998800,2070,12.053087153568082,0.0817488708011465,1027,46,1027,9527.947107479318,1643241600,2070,2070,0,1,0,0,0,0,0
3,50.17632151706568,1955,1641002400,2238,33.31035719105734,0.0238568301053087,1955,34,1955,9288.355524766564,1723420800,2238,2238,0,0,0,0,1,0,0
4,41.63400105303006,1796,1641006000,2879,46.12111728963105,0.8769943477359176,1796,33,1796,5588.049941710766,1709683200,2879,2879,0,0,0,0,1,0,0
5,78.12285326574603,1946,1641009600,2966,54.05161801340517,0.0340587726731107,1946,18,1946,7324.785331781815,1722643200,2966,2966,0,0,1,0,0,0,0
6,86.94708413376785,1204,1641013200,2757,34.54513807247706,0.1211728992013775,1204,45,1204,3152.247786827239,1658534400,2757,2757,1,0,0,0,0,0,0
7,51.1470964781812,1311,1641016800,2096,55.383112817522296,0.1098916756547063,1311,25,1311,9253.478916937507,1667779200,2096,2096,1,0,0,0,0,0,0
8,56.16398430834813,1693,1641020400,2493,17.855877857196635,0.7805342072486868,1693,27,1693,8765.03586083079,1700784000,2493,2493,0,0,0,0,1,0,0
9,37.182411723100415,1347,1641024000,2612,75.65994449829373,0.0104709053716154,1347,20,1347,8935.00714558585,1670889600,2612,2612,0,0,0,1,0,0,1
10,17.245409041786953,1574,1641027600,2638,67.93187884012292,0.0293762699375884,1574,55,1574,5541.197921465388,1690502400,2638,2638,0,0,1,0,0,0,0
11,86.18094790838266,1424,1641031200,2007,23.89562271190145,0.0834553954788118,1424,37,1424,4344.549864306991,1677542400,2007,2007,0,0,1,0,0,0,0
12,95.55400891993546,1302,1641034800,2746,17.797222024189402,0.4517349450635481,1302,54,1302,2670.1130146853484,1667001600,2746,2746,1,0,0,0,0,0,0
13,47.13851441157395,1321,1641038400,2092,64.78165788186897,0.4448031201651125,1321,47,1321,2685.9423652780533,1668643200,2092,2092,0,0,1,0,0,0,0
14,98.80425008117196,1700,1641042000,2892,43.691459478352925,0.9973396329012194,1700,22,1700,6735.159471122309,1701388800,2892,2892,0,0,0,0,1,0,0
15,99.83263446243002,1321,1641045600,2849,35.45084414311964,0.8279264002423734,1321,47,1321,2685.9423652780533,1668643200,2849,2849,0,0,1,0,0,0,0
16,20.735039147246727,1463,1641049200,2640,47.62737483292299,0.4559473695840319,1463,46,1463,1847.3263923843544,1680912000,2640,2640,0,0,1,0,0,0,0
17,44.54511885107208,1962,1641052800,2858,83.80043412877465,0.0786169688869532,1962,39,1962,7989.117483166383,1724025600,2858,2858,0,0,1,0,0,0,0
18,27.05493666999777,1854,1641056400,2479,67.01973545243015,0.5328202953043202,1854,57,1854,9960.172528289351,1714694400,2479,2479,0,0,0,0,1,0,0
19,13.615519156393288,1651,1641060000,2470,79.67952921186595,0.2520122859524184,1651,58,1651,8326.14998923507,1697155200,2470,2470,1,0,0,0,0,0,1
20,20.80228963510888,1715,1641063600,2933,23.12632324762183,0.2791586079368224,1715,57,1715,9103.487493642171,1702684800,2933,2933,0,0,0,0,1,0,0
21,36.04360521851923,1724,1641067200,2835,60.70535435436163,0.6759407120991201,1724,32,1724,8830.49151334518,1703462400,2835,2835,0,0,0,0,1,0,0
22,99.1004273987159,1117,1641070800,2220,53.84670686845873,0.1242284781235212,1117,52,1117,7288.036637655037,1651017600,2220,2220,0,1,0,0,0,0,0
23,85.4201781893225,1613,1641074400,2465,15.579538194663694,0.1953263896357612,1613,21,1613,8486.464783345322,1693872000,2465,2465,0,0,0,0,1,0,0
24,84.05328458627297,1643,1641078000,2480,13.386777836538998,0.6172898016719134,1643,52,1643,7833.796203088414,1696464000,2480,2480,0,0,0,1,0,0,0
25,50.258612452465634,1788,1641081600,2305,98.4640558012606,0.2443530379310863,1788,27,1788,4384.800511892174,1708992000,2305,2305,0,0,0,0,1,0,0
